代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="601928"	凤凰传媒	0.00	10.61	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.61	    27.58	0	  0.00	出版业	江苏	0.00	10.61	0	0	--  	0	0	--  	
="600986"	科达股份	0.00	7.05	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.05	    36.88	0	  0.00	建筑施工	山东	0.00	7.05	0	0	--  	0	0	--  	
="600981"	汇鸿股份	0.00	4.21	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.21	    92.48	0	  0.00	商贸代理	江苏	0.00	4.21	0	0	--  	0	0	--  	
="600876"	洛阳玻璃	0.00	7.24	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.24	   374.48	0	  0.00	玻璃	河南	0.00	7.24	0	0	--  	0	0	--  	
="600749"	西藏旅游	0.00	12.18	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.18	  1161.76	0	  0.00	旅游景点	西藏	0.00	12.18	0	0	--  	0	0	--  	
="600617"	国新能源	0.00	30.09	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	30.09	    42.79	0	  0.00	供气供热	山西	0.00	30.09	0	0	--  	0	0	--  	
="600575"	皖江物流	0.00	4.11	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.11	--  	0	  0.00	港口	安徽	0.00	4.11	0	0	--  	0	0	--  	
="600569"	安阳钢铁	0.00	2.32	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	2.32	    78.40	0	  0.00	普钢	河南	0.00	2.32	0	0	--  	0	0	--  	
="600517"	置信电气	0.00	12.45	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.45	    84.39	0	  0.00	电气设备	上海	0.00	12.45	0	0	--  	0	0	--  	
="600365"	通葡股份	0.00	11.38	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	11.38	  5686.21	0	  0.00	红黄药酒	吉林	0.00	11.38	0	0	--  	0	0	--  	
